id;date;who_add;jhi_group;adress
1;2020-12-09T11:20:54;one-to-one sky blue Hat;Estates Electronics;Ports CSS
2;2020-12-09T22:26:08;Avon;Berkshire;TCP JBOD Rapids
3;2020-12-09T11:33:49;payment;Practical relationships Metal;lime data-warehouse Tasty
4;2020-12-10T03:17:24;violet Fish;Sao Tome and Principe optimizing strategize;Incredible Frozen Cheese Forward
5;2020-12-09T19:54:16;turquoise firewall Knoll;South Dakota hack Solutions;Kentucky Illinois
6;2020-12-10T00:31:13;structure Branding Central;Libyan Arab Jamahiriya repurpose Chips;Handmade
7;2020-12-09T19:16:50;Tools Interactions;model;ADP Dynamic
8;2020-12-09T15:29:43;deposit;Tools Creative magenta;extend Infrastructure
9;2020-12-09T11:39:55;Licensed Granite Ball;Borders Moroccan Dirham;Metal
10;2020-12-10T04:13:10;next generation backing up;back up Avon Tuna;Credit Card Account
